Year,区域,签订日期,项目名称,合同编号,类型,甲方名称,合同总金额,key
2020,华森,2020-08-24,贵安国际数字文化产业园二期（完成）,CRCCRE-SJ-XM-2020-010,咨询,深圳华森建筑与工程设计顾问有限公司,673000,66
2020,北方,2020-08-07,"正定项目A号地块BIM设计
（完成）",CRCCRE-SJ-BIM-2020-015,BIM,河北兴铁房地产开发有限公司,646907.94,67
2020,创投,2020-11-06,创投可研(完成),CRCCRE-SJ-CZ-2020-014,可研,中铁房地产集团创新产业投资有限公司,500000,68
2020,东北,2020-10-15,西派唐颂二期BIM补充协议（完成）,CRCCRE-SJ-BIM-2020-002-B1,BIM,长春创华房地产开发有限公司,40000,69
2020,东北,2020-10-28,长春超强西街地块项目（完成云璟）,CRCCRE-SJ-ZX-2020-014,咨询,长春京新房地产开发有限公司,826282.03,70
2020,东北,2020-10-19,长春超强西街地块项目（完成云璟）,CRCCRE-SJ-BIM-2020-021,BIM,长春京新房地产开发有限公司,236423.85,71
2020,外部,2020-11-30,北京城市副中心项目（完成）,CRCCRE-SJ-BIM-2020-025,BIM智慧建造工作室,中建钢构天津有限公司,357500,72
2024,外部,2024-12-02,香港HAFC航天走廊项目,CRCCRE-SJ-BIM-2024-011,BIM智慧建造工作室,远东幕墙（珠海）有限公司,157200,73
2020,外部,2020-12-10,海口党校项目（雄安）（完成）,CRCCRE-SJ-GC-2020-012,设计分包,天津华汇工程建筑设计有限公司,1471490,74
2025,雄安,2025-08-27,雄安站枢纽片区2号地项目C1-=05-01地块7#02栋6层东侧办公室项目,CRCCRE-SJ-YJ-2025-009,精装,中铁建河北雄安城市发展有限公司,39105,75
2025,雄安,2025-10-15,雄安站枢纽片区2号地项目C1-=05-01地块7#02栋6层东侧办公室项目,"CRCCRE-SJ-YJ-2025-009-B1
",精装,中铁建河北雄安城市发展有限公司,19552.5,76
2020,外部,2020-12-10,海口妇幼项目（雄安）,CRCCRE-SJ-CZ-2020-020,设计分包,天津华汇工程建筑设计有限公司,1431769,77
2020,外部,2020-12-11,海口金融中心项目（雄安）（完成）,CRCCRE-SJ-GC-2020-011,设计分包,天津华汇工程建筑设计有限公司,1873656,78
2020,雄安,2020-12-17,雄安容东片区项目（完成）,CRCCRE-SJ-XM-2020-022,驻场+设计咨询,中铁建河北雄安城市建设有限公司,4862000,79
2024,雄安,2024-04-20,雄安站枢纽片区2号地项目四标段,CRCCRE-SJ-XM-2024-007,施工图设计+专项设计,中铁建河北雄安城市发展有限公司,3757130.27,80
2024,雄安,2024-04-20,雄安站枢纽片区2号地项目四标段,CRCCRE-SJ-XM-2024-007,施工图设计+专项设计,中铁建河北雄安城市发展有限公司,3506059.92,81
2023,雄安,2023-06-29,雄安站枢纽片区2号地项目二标段,CRCCRE-SJ-GC-2023-005,"0708地块
主体施工图",中铁建河北雄安城市发展有限公司,1262906.79,82
2023,雄安,2023-06-29,雄安站枢纽片区2号地项目二标段,CRCCRE-SJ-GC-2023-005,"未开地块
主体施工图",中铁建河北雄安城市发展有限公司,2529341.95,83
2023,雄安,2023-06-29,雄安站枢纽片区2号地项目二标段,CRCCRE-SJ-GC-2023-005,0708地块专项外委,中铁建河北雄安城市发展有限公司,1321295.17,84
2023,雄安,2023-06-29,雄安站枢纽片区2号地项目二标段,CRCCRE-SJ-GC-2023-005,"未开地块
专项外委",中铁建河北雄安城市发展有限公司,1878536.54,85
2020,北方,2020-12-17,济南置业可研（完成）,CRCCRE-SJ-CZ-2020-021,可研,中铁房地产集团济南置业有限公司,100000,86
2020,南沙,2020-12-28,南沙坦尾旧改项目,CRCCRE-SJ-CZ-2020-022,方案,广州南沙中铁实业发展有限公司,4355000,87
2023,南沙,2023-09-11,南沙坦尾旧改项目（复建地块）,CRCCRE-SJ-ZX-2023-003,施工图咨询+精审,广州南沙中铁实业发展有限公司,1108271.5,88
2023,南沙,2023-09-11,南沙坦尾旧改项目（融资地块）,CRCCRE-SJ-ZX-2023-004,施工图咨询+精审,广州南沙中铁实业发展有限公司,531737.5,89
2023,南沙,2023-11-28,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2023-074-B1,设计总包（方案外委）,广州南沙横城置业有限公司,2899042.66,90
2023,南沙,2023-11-28,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2023-074-B1,设计总包（景观外委）,广州南沙横城置业有限公司,926174.79,91
2023,南沙,2023-11-28,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2023-074-B1,设计总包（精装外委）,广州南沙横城置业有限公司,2340025,92
2023,南沙,2023-11-28,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2023-074-B2,设计总包（方案外委）,广州南沙横城置业有限公司,517375,93
2023,南沙,2023-11-28,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2023-074-B2,设计总包（景观外委）,广州南沙横城置业有限公司,240000,94
2023,南沙,2023-11-28,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2023-074-B2,设计总包（精装外委）,广州南沙横城置业有限公司,3017100,95
2024,南沙,2024-08-07,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2023-074,设计总包（精装外委）,广州南沙横城置业有限公司,1782932.4,96
2024,南沙,2024-12-18,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2024-060,设计总包（精装外委）,广州南沙横城置业有限公司,602400,97
2024,南沙,2024-12-31,南沙横沥岛30、31地块项目（西派尊府）,CRCCRE-SJ-XM-2024-061,设计总包（精装外委）,广州南沙横城置业有限公司,680000,98
